source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	assay name	comment[file uri]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Material Type	comment[data file]	factor value[organism part]
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 648	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_A01_P013674_S00_N01_R2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_A01_P013674_S00_N01_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 643	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_B01_P013674_S00_N02_R2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_B01_P013674_S00_N02_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 638	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_C01_P013674_S00_N03_R2.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_C01_P013674_S00_N03_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 633	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_D01_P013674_S00_N04_R2.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_D01_P013674_S00_N04_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 628	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_E01_P013674_S00_N05_R2.raw	5	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_E01_P013674_S00_N05_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 624	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_F01_P013674_S00_N06_R2.raw	6	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_F01_P013674_S00_N06_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 620	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_G01_P013674_S00_N07_R2.raw	7	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_G01_P013674_S00_N07_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 616	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_H01_P013674_S00_N08_R2.raw	8	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_H01_P013674_S00_N08_R2.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 647	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_A02_P013674_S00_N09_R3.raw	9	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_A02_P013674_S00_N09_R3.raw	bone marrow
PXD010154-V364	homo sapiens	bone marrow	not available	not available	not available	normal	V364	not available	not available	not available	run 642	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01343_B02_P013674_S00_N10_R3.raw	10	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01343_B02_P013674_S00_N10_R3.raw	bone marrow
