source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	technology type	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[file uri]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	material type	factor value[organism part]
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_1.raw	Sclera_bRPLC_1.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_10.raw	Sclera_bRPLC_10.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	11	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_11.raw	Sclera_bRPLC_11.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	12	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_12.raw	Sclera_bRPLC_12.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	13	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_13.raw	Sclera_bRPLC_13.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	14	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_14.raw	Sclera_bRPLC_14.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	15	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_15.raw	Sclera_bRPLC_15.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	16	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_16.raw	Sclera_bRPLC_16.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	17	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_17.raw	Sclera_bRPLC_17.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	18	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_18.raw	Sclera_bRPLC_18.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 11	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	19	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_19.raw	Sclera_bRPLC_19.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 12	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	2	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_2.raw	Sclera_bRPLC_2.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 13	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	20	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_20.raw	Sclera_bRPLC_20.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 14	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	21	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_21.raw	Sclera_bRPLC_21.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD002179-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 15	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	22	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_22.raw	Sclera_bRPLC_22.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
