source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[ancestry category]	characteristics[age]	characteristics[cultured cell]	characteristics[cell line]	characteristics[cell type]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[file]	comment[label]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[separation]	comment[file uri]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 72	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc1.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	1	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc1.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 73	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc10.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	10	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc10.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 74	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc11.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	11	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc11.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 75	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc12.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	12	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc12.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 76	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc13.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	13	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc13.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 77	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc14.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	14	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc14.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 78	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc15.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	15	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc15.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 79	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc16.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	16	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc16.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 80	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc17.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	17	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc17.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-82	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 81	proteomic profiling by mass spectrometry	20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc18.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	18	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161013_QEp2_PhGe_SA_LC12-14_Top14Top6Depl_SDB_24Frc_Frc18.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
