source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	comment[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 1	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_10.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_10.raw	10.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 2	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_11.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_11.raw	11.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 3	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_12.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_12.raw	12.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 4	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_13.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_13.raw	13.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 5	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_14.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_14.raw	14.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 6	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_15.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_15.raw	15.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 7	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_16.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_16.raw	16.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 8	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_17.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_17.raw	17.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 9	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_18.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_18.raw	18.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 10	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_19.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_19.raw	19.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 11	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_1.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_1.raw	1.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 12	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_20.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_20.raw	20.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
PXD022469-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	not available	1.0	ms_run 13	proteomic profiling by mass spectrometry	AP051018_Gurjeet_LA_Hu14_21.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_21.raw	21.0	AC=MS:1002038;NT=label free sample	1.0	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	7 ppm	0.05 Da	blood plasma
